S. No.,State/ UT,Surfaced Roads-Accident - 2014,Surfaced Roads- Killed - 2014,Surfaced Roads-Injured - 2014,Metalled Roads-Accident - 2014,Metalled Roads- Killed - 2014,Metalled Roads-Injured - 2014,Kutcha Roads-Accident - 2014,Kutcha Roads- Killed - 2014,Kutcha Roads-Injured - 2014,Dry road-Accident - 2014,Dry road- Killed - 2014,Dry road-Injured - 2014,Wet road-Accident - 2014,Wet road- Killed - 2014,Wet road-Injured - 2014,Good surface-Accident - 2014,Good surface- Killed - 2014,Good surface-Injured - 2014,Loose Surface-Accident - 2014,Loose Surface- Killed - 2014,Loose Surface-Injured - 2014,Rutted/Pot holes-Accident - 2014,Rutted/Pot holes- Killed - 2014,Rutted/Pot holes-Injured - 2014,Road under repair/construction-Accident - 2014,Road under repair/construction- Killed - 2014,Road under repair/construction-Injured - 2014,Corrugated/Wavy road-Accident - 2014,Corrugated/Wavy road- Killed - 2014,Corrugated/Wavy road-Injured - 2014,Slippery surface-Accident - 2014,Slippery surface- Killed - 2014,Slippery surface-Injured - 2014,Snowy-Accident - 2014,Snowy- Killed - 2014,Snowy-Injured - 2014,Muddy-Accident - 2014,Muddy- Killed - 2014,Muddy-Injured - 2014,Oily-Accident - 2014,Oily- Killed - 2014,Oily-Injured - 2014,Speed breaker-Accident - 2014,Speed breaker- Killed - 2014,Speed breaker-Injured - 2014,Others-Accident - 2014,Others- Killed - 2014,Others-Injured - 2014,Straight Road-Accidents - 2014,Straight Road-Killed - 2014,Straight Road-Injured - 2014,Slight Curve-Accidents - 2014,Slight Curve-Killed - 2014,Slight Curve-Injured - 2014,Sharp Curve-Accidents - 2014,Sharp Curve-Killed - 2014,Sharp Curve-Injured - 2014,Flat Road-Accidents - 2014,Flat Road-Killed - 2014,Flat Road-Injured - 2014,Gentle Incline-Accidents - 2014,Gentle Incline-Killed - 2014,Gentle Incline-Injured - 2014,Steep Incline-Accidents - 2014,Steep Incline-Killed - 2014,Steep Incline-Injured - 2014,Hump-Accidents - 2014,Hump-Killed - 2014,Hump-Injured - 2014,Dip-Accidents - 2014,Dip-Killed - 2014,Dip-Injured - 2014,Pucca road (Normal Road) - Number of Accidents - 2016,Pucca road (Normal Road) - Persons Killed - 2016,Pucca road (Normal Road) - Persons Injured - 2016,Kutcha road (Normal Road) - Number of Accidents - 2016,Kutcha road (Normal Road) - Persons Killed - 2016,Kutcha road (Normal Road) - Persons Injured - 2016,Pot Holes - Number of Accidents - 2016,Pot Holes - Persons Killed - 2016,Pot Holes - Persons Injured - 2016,Speed Breakers - Number of Accidents - 2016,Speed Breakers - Persons Killed - 2016,Speed Breakers - Persons Injured - 2016,Sharp Curve - Number of Accidents - 2016,Sharp Curve - Persons Killed - 2016,Sharp Curve - Persons Injured - 2016,Steep Gradient - Number of Accidents - 2016,Steep Gradient - Persons Killed - 2016,Steep Gradient - Persons Injured - 2016,Earthern Shoulder Edge Drop - Number of Accidents - 2016,Earthern Shoulder Edge Drop - Persons Killed - 2016,Earthern Shoulder Edge Drop - Persons Injured - 2016,Others - Number of Accidents - 2016,Others - Persons Killed - 2016,Others - Persons Injured - 2016
13,Kerala,32954,3794,37511,3135,247,3377,193,8,208,26550,2981,30102,9732,1068,10994,29162,3281,33367,3686,444,3961,494,49,556,452,30,461,228,14,330,1594,193,1619,0,0,0,235,4,257,133,14,156,110,8,137,188,12,252,27860,2917,31540,6034,910,6748,2388,222,2808,30280,3484,34177,3298,383,3772,2278,161,2609,414,21,517,12,0,21,33088,3775,36703,225,22,242,536,54,597,107,3,148,2574,235,3016,2446,168,2779,243,13,354,201,17,269
14,Madhya Pradesh,38703,6755,41385,6611,982,7612,8158,832,6338,45933,7499,47974,7539,1070,7361,35469,5310,37451,5962,920,6250,2962,360,2801,1190,340,970,633,135,385,549,128,323,127,23,21,181,21,150,73,10,50,1895,140,530,4431,1182,6404,37932,6755,41385,11179,1382,10612,4361,432,3338,38954,6250,41284,9085,1254,8021,2129,474,2360,2285,415,2587,1019,176,1083,38265,7014,41104,6708,1007,6790,609,81,749,712,95,601,643,164,791,276,50,273,450,78,575,6309,1157,6990
15,Maharashtra,48820,10188,31517,8541,1889,6312,4266,726,2626,53587,11600,33717,8040,1203,6738,55036,10438,35568,892,415,1080,565,124,368,676,224,422,593,194,284,458,178,343,0,0,0,418,114,392,322,84,278,380,110,283,2287,922,1437,52315,11073,35256,7687,1201,3988,1625,529,1211,54540,10817,36442,4178,1204,2197,2076,555,1389,475,134,215,358,93,212,27300,8517,25310,2751,832,2319,1064,329,790,579,173,461,949,357,822,611,171,561,218,89,300,6406,2467,5321
16,Manipur,228,54,384,270,61,471,245,53,440,395,97,678,348,71,617,175,49,315,263,58,463,1,0,2,61,10,97,0,0,0,42,4,62,12,0,26,36,5,56,14,2,20,24,7,43,115,33,211,462,94,792,155,43,281,126,31,222,485,91,824,131,39,256,67,10,91,19,4,32,41,24,92,359,47,684,86,24,127,20,2,35,4,1,4,23,3,37,9,1,14,0,0,0,37,3,54
17,Meghalaya,542,141,311,0,0,0,0,0,0,542,141,311,0,0,0,542,141,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,141,311,0,0,0,0,0,0,542,141,311,0,0,0,0,0,0,0,0,0,0,0,0,74,20,44,11,3,7,0,0,0,56,14,35,15,5,9,0,0,0,0,0,0,464,108,259
18,Mizoram,13,14,37,117,87,191,2,2,6,106,81,193,26,22,41,129,100,228,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,53,85,74,159,12,8,22,26,16,41,101,83,188,5,4,5,0,0,0,0,0,0,76,63,68,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0
19,Nagaland,249,61,195,0,0,0,56,20,35,305,81,230,0,0,0,305,81,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,81,230,0,0,0,0,0,0,305,81,230,0,0,0,0,0,0,0,0,0,0,0,0,37,21,49,0,0,0,0,0,0,0,0,0,38,25,71,0,0,0,0,0,0,0,0,0
20,Orissa,6377,2552,6438,2203,873,2711,1068,506,1938,7504,3075,8392,2144,856,2695,5555,2335,6315,1156,425,1232,79,22,84,772,339,837,477,210,515,200,79,189,27,16,37,189,85,189,12,6,15,292,91,338,889,323,1336,6256,2581,7327,2045,788,2304,1347,562,1456,6569,2386,7528,695,323,846,680,607,875,1330,456,1387,374,159,451,6101,2509,6186,1753,692,2110,226,208,397,497,180,562,482,212,515,131,64,146,25,13,28,1317,585,1368
21,Punjab,5567,3998,3632,568,333,402,256,290,93,5647,4133,3587,744,488,540,4884,3717,3349,318,261,235,161,90,97,162,95,91,51,50,19,92,45,37,24,5,11,75,29,18,15,4,8,140,73,85,469,252,177,5458,4184,3403,559,238,433,374,199,291,5728,4269,3643,225,100,194,172,90,94,194,116,146,72,46,50,6516,4826,3871,25,14,24,22,11,32,92,48,88,215,132,263,0,0,0,0,0,0,82,46,73
22,Rajasthan,23978,10025,26655,448,179,541,202,85,257,24126,10109,26895,502,180,558,23135,9759,25917,541,242,639,318,105,353,95,45,131,47,31,70,0,0,0,0,0,0,3,1,2,0,0,4,131,8,77,358,98,260,24112,10092,26795,404,146,554,112,51,104,24418,10198,27211,157,76,211,41,10,13,5,2,8,7,3,10,20913,9506,21635,541,200,603,282,106,302,227,117,222,137,56,155,11,6,12,0,0,0,955,474,1174
23,Sikkim,44,18,121,95,26,132,64,15,99,111,38,186,92,21,166,9,1,24,25,3,35,0,0,0,0,0,0,0,0,0,26,3,28,4,0,3,6,5,18,0,0,0,0,0,0,133,47,244,66,18,122,58,15,134,79,26,96,60,19,116,29,11,86,24,9,95,7,0,0,83,20,55,63,38,112,56,21,65,0,0,0,0,0,0,31,12,32,33,8,41,27,6,13,0,0,0
24,Tamil Nadu,48327,11768,56317,16796,2927,18561,2127,495,2847,58776,13629,68473,8474,1561,9252,50013,10498,56875,1480,337,1740,1665,126,1743,2933,463,3506,375,98,404,277,52,344,82,5,116,706,67,1206,0,0,0,1119,236,1416,8600,3308,10375,53052,12471,62819,9104,1908,9707,5094,811,5199,57945,13357,67066,3140,751,4457,1927,547,2093,2206,274,2150,2032,261,1959,57983,14622,65425,8801,1725,10933,621,130,717,1208,260,1354,1797,326,2309,274,75,294,67,16,67,680,64,1064
25,Telangana,9946,3333,9037,4733,2390,4129,5399,1183,8470,18185,6253,19606,1893,653,2030,7404,2573,5356,291,113,479,282,82,424,498,171,673,82,25,136,60,14,87,29,9,45,44,15,72,0,0,0,293,80,367,11095,3824,13997,15510,4935,9909,2891,1414,6341,1677,557,5386,15510,4935,9909,3946,1741,10931,267,76,341,93,54,121,262,100,334,14806,4582,15776,2404,886,2696,4,3,5,240,65,256,430,124,524,1,1,4,1,1,2,4925,1557,4954
26,Tripura,606,161,1019,110,27,206,0,0,0,657,174,1122,59,14,103,591,152,1065,11,3,17,0,0,0,0,0,0,0,0,0,7,2,7,0,0,0,4,1,4,0,0,0,1,0,1,102,30,131,592,153,988,101,26,204,23,9,33,586,155,924,119,26,280,3,4,13,0,0,0,8,3,8,478,152,704,9,3,12,0,0,0,38,8,41,15,5,30,6,2,39,0,0,0,11,3,27
27,Uttarakhand,850,487,860,408,275,458,152,116,213,1117,676,1101,293,202,430,898,495,827,319,215,325,0,0,0,56,35,31,25,13,13,38,17,71,0,0,0,3,3,18,0,0,0,27,35,76,44,65,170,1083,660,1055,221,121,357,106,97,119,1143,703,1119,65,54,135,90,54,113,97,57,126,15,10,38,1342,826,1545,155,96,136,28,13,14,35,15,20,0,0,0,0,0,0,0,0,0,31,12,20
28,Uttar Pradesh,18394,9108,12374,5883,3549,4663,6757,3630,5300,24076,12264,16975,6958,4023,5362,15101,7662,10681,2238,1177,1564,2406,1275,1940,1392,801,836,710,365,550,460,261,458,224,130,232,697,431,676,475,313,584,3192,1753,2175,4139,2119,2641,19499,9875,15046,6145,3398,3609,5390,3014,3682,16477,8410,11823,4849,2672,3185,5067,2571,3855,2539,1427,1886,2102,1207,1588,15302,8679,8448,3121,1570,2318,1436,714,1086,2121,1000,1341,1826,859,1136,1045,457,854,1770,813,1023,8991,5228,8890
29,West Bengal,4813,2152,7552,4504,2599,3504,3558,1124,962,8881,4038,8070,3994,1837,3948,4055,1768,4330,1026,449,1031,352,130,207,900,456,829,258,122,295,484,234,517,29,22,7,230,159,163,34,16,39,225,103,265,5282,2416,4335,9786,4452,8922,1848,834,1800,1241,589,1296,10717,4776,9602,704,369,786,500,272,612,275,142,365,679,316,653,3298,1822,2764,1123,460,1203,319,122,201,545,271,380,2180,1072,2268,11,4,15,289,58,201,5815,2735,4827
30,A & N Islands,218,23,283,0,0,0,0,0,0,174,20,242,44,3,41,218,23,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,23,241,30,0,40,2,0,2,218,23,283,0,0,0,0,0,0,0,0,0,0,0,0,173,13,236,0,0,0,5,0,7,4,1,2,45,2,53,11,1,25,0,0,0,0,0,0
31,Chandigarh,369,131,335,0,0,0,0,0,0,369,131,335,0,0,0,369,131,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,131,335,0,0,0,0,0,0,369,131,335,0,0,0,0,0,0,0,0,0,0,0,0,402,141,311,2,2,0,0,0,0,10,0,1,14,8,17,0,0,0,0,0,0,0,0,0
32,D & N Haveli,87,59,96,0,0,0,0,0,0,68,49,78,19,10,18,87,59,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,59,96,0,0,0,0,0,0,87,59,96,0,0,0,0,0,0,0,0,0,0,0,0,29,16,66,12,9,16,0,2,0,4,0,6,9,4,10,0,0,0,0,0,0,16,15,32
33,Daman & Diu,39,15,49,0,0,0,0,0,0,38,14,49,1,1,0,39,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13,34,8,2,15,0,0,0,39,15,49,0,0,0,0,0,0,0,0,0,0,0,0,40,18,56,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,29,18,46
34,Delhi,NA,42,NA,NA,1620,NA,NA,9,NA,NA,1670,NA,NA,1,NA,NA,1662,NA,NA,0,NA,NA,2,NA,NA,7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1611,NA,NA,60,NA,0,0,0,NA,1663,NA,NA,8,NA,0,0,0,0,0,0,0,0,0,6069,1326,5600,149,43,156,0,0,0,12,3,13,44,13,37,0,0,0,0,0,0,1101,206,1348
35,Lakshadweep,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,1037,145,1217,62,6,92,12,0,14,1054,138,1225,57,13,98,971,135,1171,15,2,32,0,0,0,4,0,8,0,0,0,0,0,0,18,4,22,0,0,0,0,0,0,31,4,23,72,6,67,974,137,1183,86,10,96,51,4,44,1067,149,1262,36,2,44,0,0,0,5,0,12,3,0,5,1294,165,1297,296,54,299,0,0,0,77,11,89,28,4,35,0,0,0,0,0,0,71,10,66
Total,Total,342149,95954,334486,84851,28445,97379,53777,15272,53326,404654,117856,411393,76123,21815,73798,330802,88361,326456,28947,9103,30132,11106,3039,10579,12177,4098,11954,4512,1698,4098,6113,1814,5914,1116,394,1395,4027,1413,4733,1767,677,2040,11008,3633,9428,69202,25441,78462,370405,106322,363118,72283,21301,80077,38089,12048,41996,387511,109028,373039,48183,14894,63778,20519,6993,20987,13449,4726,15599,11115,4030,11788,331246,100166,338554,44535,13532,47333,6424,2324,6310,9583,3396,8868,16166,5454,18164,5798,1348,6111,3954,1470,3467,62946,23095,65817
